fat_g,fiber_g,calories,food_id,potassium_mg,sodium_mg,source,name,carbs_g,cholesterol_mg,sugar_g,protein_g,category,cuisine,sat_fat_g,low_gi,low_sodium,diabetic_friendly,heart_healthy,vegetarian,vegan,meal_type
1.47,0.0,59.0,1177,231.0,65.0,USDA,"PLAIN PROBIOTIC FORMULA LOWFAT YOGURT, PLAIN",7.06,6.0,7.06,4.71,Other,American,0.88,0,1,0,0,1,0,snack
0.0,0.0,143.0,1178,0.0,25714.0,USDA,"CHICKEN FLAVOR INSTANT BOUILLON CUBES, CHICKEN",28.57,0.0,28.57,0.0,Other,American,0.0,0,0,0,0,0,0,lunch
0.61,0.8,33.0,1179,48.0,282.0,USDA,"MINESTRONE ORGANIC SOUP, MINESTRONE",6.53,0.0,2.04,1.22,Other,American,0.0,0,0,0,0,1,1,lunch
1.84,3.3,82.0,1180,185.0,224.0,USDA,"RED LENTIL DAHL ORGANIC SOUP, RED LENTIL DAHL",11.84,0.0,1.63,4.9,Other,American,0.61,1,0,1,1,1,1,lunch
3.27,0.8,57.0,1181,131.0,314.0,USDA,"POTATO LEEK ORGANIC SOUP, POTATO LEEK",7.35,6.0,1.22,0.82,Other,American,1.43,0,0,0,0,1,1,lunch
1.22,0.8,41.0,1182,53.0,220.0,USDA,"GREEN CHILE CORN ORGANIC CHOWDER, GREEN CHILE CORN",6.53,0.0,0.82,1.22,Other,American,0.0,0,0,0,0,1,1,lunch
2.45,0.4,45.0,1183,20.0,290.0,USDA,"CREAMY TOMATO BASIL ORGANIC SOUP, CREAMY TOMATO BASIL",4.49,4.0,2.45,0.82,Other,American,1.22,0,0,0,0,1,0,lunch
1.43,1.2,49.0,1184,66.0,216.0,USDA,"CHICKEN QUINOA & KALE ORGANIC SOUP, CHICKEN QUINOA & KALE",5.71,4.0,1.22,2.45,Other,American,0.2,0,0,0,0,0,0,lunch
0.88,0.0,88.0,1185,159.0,56.0,USDA,"ORIGINAL PEACH PROBIOTIC FORMULA BLENDED LOWFAT YOGURT, ORIGINAL PEACH",17.06,3.0,15.29,2.94,Other,American,0.59,0,1,0,0,1,0,snack
0.0,0.0,53.0,1186,141.0,59.0,USDA,"APPLE PIE LIGHT PROBIOTIC BLENDED NONFAT YOGURT, APPLE PIE",9.41,3.0,7.06,3.53,Other,American,0.0,0,1,0,0,1,0,snack
2.67,0.7,120.0,1187,113.0,37.0,USDA,"COFFEE LOW-FAT GREEK YOGURT WITH BISCOTTI COOKIES, MILK CHOCOLATE, & MOCHA BROWNIES, COFFEE BROWNIE BLISS",16.67,10.0,13.33,7.33,Other,American,1.67,0,1,0,0,1,0,snack
0.0,0.0,286.0,1188,0.0,0.0,USDA,ORGANIC AMBER 100% BLUE AGAVE,76.19,0.0,76.19,0.0,Other,American,0.0,0,1,0,0,1,1,lunch
2.94,2.9,265.0,1189,103.0,500.0,USDA,"ENRICHED HOMESTYLE COUNTRY BUTTERMILK BREAD, HOMESTYLE",52.94,0.0,5.88,8.82,Other,American,0.0,0,0,0,0,1,0,breakfast
3.12,3.1,250.0,1190,0.0,422.0,USDA,SPLIT TOP OATMEAL BREAD,46.88,0.0,6.25,9.38,Other,American,0.0,0,0,0,0,1,1,breakfast
3.23,6.5,258.0,1191,290.0,371.0,USDA,"100% WHOLE WHEAT BREAD, WHOLE WHEAT",48.39,0.0,9.68,9.68,Other,American,0.0,0,0,0,0,1,1,lunch
0.0,0.0,147.0,1192,0.0,147.0,USDA,GLAZE STRAWBERRY,38.24,0.0,26.47,0.0,Other,American,0.0,0,0,0,0,1,1,lunch
0.0,0.0,29.0,1193,0.0,132.0,USDA,SUGAR FREE STRAWBERRY GLAZE,5.88,0.0,0.0,0.0,Other,American,0.0,0,1,0,0,1,1,lunch
0.0,0.0,167.0,1194,0.0,19333.0,USDA,"PICO DE GALLO, HOT, HOT",33.33,0.0,0.0,0.0,Other,American,0.0,0,0,0,0,1,1,lunch
0.0,1.4,74.0,1195,419.0,0.0,USDA,IDAHO RUSSET POTATOES,17.57,0.0,0.68,2.03,Other,American,0.0,0,1,0,0,1,1,lunch
0.0,3.6,36.0,1196,0.0,964.0,USDA,PICKLED CHILE HABANERO,7.14,0.0,0.0,0.0,Other,American,0.0,1,0,1,0,1,1,lunch
19.35,3.2,484.0,1197,0.0,516.0,USDA,"THE ORIGINAL FLAVORED BUTTER COOKIES, THE ORIGINAL",70.97,16.0,22.58,6.45,Other,American,9.68,0,0,0,0,1,0,snack
0.0,0.8,78.0,1198,78.0,4.0,USDA,SLICED PEACHES YELLOW CLING PEACHES IN HEAVY SYRUP,19.53,0.0,16.41,0.0,Other,American,0.0,0,1,0,0,1,1,lunch
0.0,3.3,75.0,1199,0.0,0.0,USDA,WILD BLUEBERRIES IN LIGHT SYRUP,19.17,0.0,14.17,0.0,Other,American,0.0,0,1,0,1,1,1,lunch
0.0,0.9,53.0,1200,0.0,0.0,USDA,PINEAPPLE SLICES IN 100% PINEAPPLE JUICE,13.22,0.0,11.89,0.44,Other,American,0.0,0,1,0,0,1,1,breakfast
0.0,0.9,44.0,1201,146.0,0.0,USDA,ORGANIC DICED YELLOW CLING PEACHES IN ORGANIC PEAR JUICE FROM CONCENTRATE,10.62,0.0,8.85,0.0,Other,American,0.0,0,1,0,0,1,1,breakfast
0.0,1.8,53.0,1202,112.0,0.0,USDA,"DICED PEARS IN ORGANIC PEAR JUICE FROM CONCENTRATE, DICED PEARS",14.16,0.0,9.73,0.0,Other,American,0.0,0,1,0,0,1,1,breakfast
0.0,0.9,62.0,1203,27.0,0.0,USDA,PINEAPPLE TIDBITS IN 100% PINEAPPLE JUICE,15.93,0.0,15.04,0.0,Other,American,0.0,0,1,0,0,1,1,breakfast
0.0,1.8,62.0,1204,0.0,0.0,USDA,DICED APPLES IN 100% FRUIT JUICE,15.04,0.0,9.73,0.88,Other,American,0.0,0,1,0,0,1,1,snack
0.0,0.9,62.0,1205,106.0,0.0,USDA,MANDARIN ORANGES IN 100% FRUIT JUICE,14.16,0.0,12.39,0.88,Other,American,0.0,0,1,0,0,1,1,snack
0.0,0.9,53.0,1206,124.0,0.0,USDA,DICED PEACHES IN 100% FRUIT JUICE,12.39,0.0,10.62,0.88,Other,American,0.0,0,1,0,0,1,1,snack
0.44,0.0,80.0,1207,177.0,319.0,USDA,"CHUNK LIGHT TUNA IN WATER, CHUNK LIGHT",0.0,40.0,0.0,17.7,Other,American,0.0,0,0,0,0,1,1,lunch
12.5,0.9,295.0,1208,223.0,286.0,USDA,"PUMPKIN PIE, PUMPKIN",40.18,36.0,25.89,5.36,Other,American,5.36,0,0,0,0,1,1,lunch
13.39,0.0,161.0,1209,250.0,85.0,USDA,85% LEAN 15% FAT GROUND TURKEY,0.0,80.0,0.0,16.96,Other,American,3.12,0,1,0,0,0,0,lunch
25.0,7.1,500.0,1210,286.0,232.0,USDA,"BLUE CORN TORTILLA CHIPS, BLUE",60.71,0.0,0.0,7.14,Other,American,3.57,1,0,0,0,1,1,snack
25.0,7.1,500.0,1211,214.0,268.0,USDA,"WHITE CORN TORTILLA CHIPS, WHITE",60.71,0.0,0.0,7.14,Other,American,1.79,1,0,0,1,1,1,snack
39.29,3.6,550.0,1212,0.0,568.0,USDA,"SWEET POTATO CHIPS, SEA SALT, SEA SALT",46.43,0.0,7.14,3.57,Other,American,7.14,0,0,0,0,1,1,snack
0.0,3.6,357.0,1213,0.0,857.0,USDA,"SOURDOUGH RELARD PRETZELS, SOURDOUGH",82.14,0.0,0.0,10.71,Other,American,0.0,1,0,0,0,1,1,lunch
36.67,0.0,333.0,1214,0.0,867.0,USDA,"GREEK FETA VINAIGRETTE, GREEK FETA",3.33,0.0,3.33,0.0,Other,American,5.0,0,0,0,0,1,1,lunch
0.0,0.0,278.0,1215,0.0,7222.0,USDA,"SEASONING & SALAD MIX, RANCH",55.56,0.0,0.0,0.0,Other,American,0.0,0,0,0,0,1,1,lunch
16.13,0.0,194.0,1216,0.0,1516.0,USDA,"LIGHT CHAMPAGNE DRESSING, LIGHT CHAMPAGNE",6.45,0.0,3.23,0.0,Other,American,1.61,0,0,0,0,1,1,lunch
28.57,7.1,500.0,1217,0.0,250.0,USDA,"BEET WHOLE GRAIN CHIPS, BEET",57.14,0.0,3.57,7.14,Other,American,1.79,1,0,0,1,1,1,snack
0.0,0.0,118.0,1218,0.0,824.0,USDA,"SPICY KETCHUP, SPICY",29.41,0.0,11.76,0.0,Other,American,0.0,0,0,0,0,1,1,lunch
25.0,0.0,286.0,1219,0.0,857.0,USDA,"GARLIC & HERBS DELECTABLE BRIE SPREAD, GARLIC & HERBS",3.57,89.0,0.0,14.29,Other,American,14.29,0,0,0,0,1,1,lunch
25.0,0.0,286.0,1220,0.0,857.0,USDA,"ORIGINAL DELECTABLE BRIE SPREAD, ORIGINAL",3.57,89.0,0.0,14.29,Other,American,14.29,0,0,0,0,1,1,lunch
18.75,6.2,500.0,1221,0.0,812.0,USDA,"CLASSICO VIRGIN OLIVE OIL SNACK SIZE ITALIAN BRUSCHETTA TOASTS, CLASSICO VIRGIN OLIVE OIL",68.75,0.0,6.25,12.5,Other,American,0.0,0,0,0,0,1,1,snack
32.14,0.0,357.0,1222,0.0,607.0,USDA,"DOUBLE CREME BRIE, DOUBLE CREME",3.57,107.0,0.0,17.86,Other,American,17.86,0,0,0,0,1,1,lunch
